Study ID,Authors,Author Full Names,Article Title,Source Title,Abstract,Researcher Ids,ORCIDs,ISSN,eISSN,Publication Date,Publication Year,Volume,Issue,DOI,Pubmed Id,Sequence Type,16S Amplicon?,Community/Isolate,LAB,DNA extraction ,DNA extraction volume/mass,Accession numberr?,Method (other),Longitudinal (Duration)? ,Longitudinal?,Longitudinal (space)? ,Spatial,Longitudinal and Spatial (Both),Temperature (0C),pH,NaCl (%),Country,Geographic coordinates,Cheese Type,Duration of ripening (Days),Ripening/ripened?,Commercial/Industrial?,Starter Culture,Starter Culture Type,Starter Sequenced
1,"Ruvalcaba-Gomez, JM; Delgado-Macuil, RJ; Zelaya-Molina, LX; Maya-Lucas, O; Ruesga-Gutierrez, E; Anaya-Esparza, LM; Villagran-de la Mora, ZV; Lopez-de la Mora, DA; Arteaga-Garibay, RI","Ruvalcaba-Gomez, Jose M.; Delgado-Macuil, Raul J.; Zelaya-Molina, Lily X.; Maya-Lucas, Otoniel; Ruesga-Gutierrez, Edmundo; Anaya-Esparza, Luis M.; Villagran-de la Mora, Zuami; de la Mora, David A. Lopez; Arteaga-Garibay, Ramon I.",Bacterial Succession through the Artisanal Process and Seasonal Effects Defining Bacterial Communities of Raw-Milk Adobera Cheese Revealed by High Throughput DNA Sequencing,MICROORGANISMS,"The bacterial community of the artisanal Adobera cheese from Los Altos de Jalisco was described through high-throughput sequencing of 16S rRNA gene libraries. Samples were collected in two different seasons (dry and rainy) during four key steps of the manufacturing process (raw milk, fresh curd, matured curd, and cheese). Bacterial diversity was higher in early steps in comparison with the final elaboration stages. Firmicutes and Proteobacteria were the most abundant phyla, strongly represented by the Streptococcaceae, Enterobacteriaceae and Lactobacillaceae families, and core bacteria genera such as Streptococcus spp., Lactococcus spp., and Lactobacillus spp. Undesirable bacteria, including Pseudomonas spp. and Acinetobacter spp., were also detected in raw milk but almost undetectable at the end of the cheese manufacturing process, and seemed to be displaced by lactic-acid bacteria-related genera. Seasonal effects were observed on the community structure but did not define the core microbiota composition. Predictive metabolism was related to membrane transport, and amino-acid, lipid, and carbohydrate metabolism pathways. Our results contribute to deduce the role of bacteria involved in Adobera cheese manufacturing in terms of the metabolism involved, cheese microbial safety, and how undesirable bacterial populations could be regulated by process standardization as a potential tool to improve safety.",,"Anaya Esparza, Luis Miguel/0000-0001-9194-1719; ARTEAGA, RAMON/0000-0002-5745-8149",,2076-2607,JAN,2021,9,1,10.3390/microorganisms9010024,33374626,16S RNA sequencing,Yes,Whole,No,"Raw milk (RM), fresh curd (FC), acidified curd (MC), and cheese (CH)",0.2,PRJNA681198,NA,Dry (November to May) and rainy seasons (June to October),Yes,Whole mass,No,YES,NA,NA,NA,Mexico,NA,Artisanal Adobera,NA,Ripened,Industrial,No,No,NA
2,"Suarez, N; Weckx, S; Minahk, C; Hebert, EM; Saavedra, L","Suarez, N.; Weckx, S.; Minahk, C.; Hebert, E. M.; Saavedra, L.",Metagenomics-based approach for studying and selecting bioprotective strains from the bacterial community of artisanal cheeses,INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,"A metagenome-based approach was used to assess the taxonomic affiliation and functional potential for bacteriocin production of the bacterial community in cow's milk artisanal cheeses from Northwestern Argentina. Three different samples were analyzed by high-throughput sequencing of the V4 region of the 16S rRNA gene and shotgun metagenomics. Taxonomic analysis showed that cheese A and C were quite similar whereas cheese B displayed a rather different bacterial composition. Overall, two families, Streptococceae and Enterococceae, dominated the artisanal cheese microbiota, being the former family prevalent in cheese B and the later family the most important in samples A and C. Besides the usual species associated to cheeses, a number of bacterial taxa that have not been previously found in Argentinean artisanal cheeses were reported in the present work such as Macrococcus caseolyticus and Streptococcus macedonicus Functional metagenomics analysis using the bacteriocin mining software BAGEL3, identified 2 ORFs encoding antimicrobial peptides in cheese B and 42 different peptides in sample C. The bacteriocin genes found showed good correlation with taxonomy. Based on the microbial diversity and functional features found through shotgun metagenomic sequencing, a culture-dependent approach was applied aiming to isolate bacteriocin-producing bacteria able to inhibit the growth of the foodborne pathogen Listeria monocytogenes. From 151 bacterial colonies derived from the cheese samples, 10 were associated to high anti-Listeria activity. Based on partial 16S rRNA gene sequencing and RAPD-PCR analysis, all bacteriocinogenic isolates were identified as Enterococcus faecium. Finally, we carried out a pilot experiment with L. monocytogenes-contaminated cheese using one of the enterococcal isolates as a bioprotective adjunct culture. The use of E. faecium CRL1879 during artisanal cheese manufacturing did not alter the main organoleptic properties of the cheese and ensured an efficient control of the food-borne pathogen up to 30 days. This finding supports the use of E. faecium CRL1879 as an adjunct culture in the cheese-making process with a combination of both safety and minimal processing.",,"Weckx, Stefan/0000-0002-1380-8610",0168-1605,1879-3460,16-Dec,2020,335,,10.1016/j.ijfoodmicro.2020.108894,33032033,16S rRNA gene and shotgun metagenomics,Yes,Whole,No,Whole mass,5,PRJEB24788-PRJEB24792,NA,NA,No,Whole mass,No,No,NA,NA,NA,Argentina,NA,Cow's milk artisanal,NA,Ripened,Commercial,No,No,NA
3,"Afshari, R; Pillidge, CJ; Dias, DA; Osborn, AM; Gill, H","Afshari, Roya; Pillidge, Christopher J.; Dias, Daniel A.; Osborn, A. Mark; Gill, Harsharn",Microbiota and Metabolite Profiling Combined With Integrative Analysis for Differentiating Cheeses of Varying Ripening Ages,FRONTIERS IN MICROBIOLOGY,"Cheese maturation and flavor development results from complex interactions between milk substrates, cheese microbiota and their metabolites. In this study, bacterial 16S rRNA-gene sequencing, untargeted metabolomics (gas chromatography-mass spectrometry) and data integration analyses were used to characterize and differentiate commercial Cheddar cheeses of varying maturity made by the same and different manufacturers. Microbiota and metabolite compositions varied between cheeses of different ages and brands, and could be used to distinguish the cheeses. Individual amino acids and carboxylic acids were positively correlated with the ripening age for some brands. Integration and Random Forest analyses revealed numerous associations between specific bacteria and metabolites including a previously undescribed positive correlation between Thermus and phenylalanine and a negative correlation between Streptococcus and cholesterol. Together these results suggest that multi-omics analyses has the potential to be used for better understanding the relationships between cheese microbiota and metabolites during ripening and for discovering biomarkers for validating cheese age and brand authenticity.",,"afshari, roya/0000-0002-7455-8731",1664-302X,,26-Nov,2020,11,,10.3389/fmicb.2020.592060,33324371,16S rRNA-gene,Yes,Whole,No,Whole mass,0.2,PRJNA673975.,NA,3 brands at different maturities were sampled ,Yes,Whole mass,No,No,NA,NA,NA,Australia,NA,Cheddar,NA,Ripened,Commercial,NA,NA,16S rRNA
4,"Fretin, M; Chassard, C; Delbes, C; Lavigne, R; Rifa, E; Theil, S; Fernandez, B; Laforce, P; Callon, C","Fretin, Marie; Chassard, Christophe; Delbes, Celine; Lavigne, Rene; Rifa, Etienne; Theil, Sebastien; Fernandez, Benoit; Laforce, Patrice; Callon, Cecile",Robustness and efficacy of an inhibitory consortium against E. coli O26:H11 in raw milk cheeses,FOOD CONTROL,"Safety in raw milk cheeses being a major public health issue, the aim of this study was to validate a new bio preservation strategy by evaluating the efficacy of an inhibitory bacterial consortium (Hafnia alvei, Lactobacillus plantarum and Lactococcus lactis) on the growth of E. coli O26:H11 in uncooked pressed cheeses manufactured with different raw milk batches (6 farms, 3 periods). The pathogen was inoculated at very low concentrations (0.5 and 0.05 cfu mL(-1)), close to reality. The inhibitory power of the consortium was determined by culture analyses, and 16S rDNA sequencing of milk batches and cheeses was performed to evaluate the impact of milk microbial composition on the consortium's inhibition capacities. Raw milk batches differed in their fat and protein contents, microbial counts and diversity indices. The consortium's strong inhibitory power and adaptability were confirmed by a reduction of STEC levels (average of 2.8 log cfu g(-1)) in all cheeses, whatever the level of STEC inoculated into the milk. Differences in the growth and inhibition of E. coli in the cheeses depended on the microbial composition of the raw milk batches. Further research using a transcriptomic approach will help to improve understanding of the interactions between the strains.",,,0956-7135,1873-7129,SEP,2020,115,,10.1016/j.foodcont.2020.107282,,16S rRNA sequencing,Yes,Isolate,No,Core,10,PRJNA578621,STEC strain were enumerated from the cheese cores ,"6 h, 24 h, 8 d, 18 d and 28 d",Yes,Whole mass,No,No,9,NA,NA,France,NA,Saint-Nectaire-type cheeses,28,Ripening,Industrial,Yes,Commercial,NA
5,"Nalepa, B; Ciesielski, S; Aljewicz, M","Nalepa, Beata; Ciesielski, Slawomir; Aljewicz, Marek",The Microbiota of Edam Cheeses Determined by Cultivation and High-Throughput Sequencing of the 16S rRNA Amplicon,APPLIED SCIENCES-BASEL,"The aim of this study was to evaluate the microbiome of industrially produced ripened Edam cheeses by next-generation sequencing. The samples for analyses were collected in spring and autumn. Spring samples were characterized by significantly higherLactococcusandBacilluscounts and lower counts of Enterobacteriaceae,Enterococcus, and yeasts than autumn samples. The predominant microorganisms identified by the Illumina high-throughput sequencing technology belonged to four phyla: Firmicutes, Actinobacteria, Proteobacteria and Bacteroidetes. The dominant species were starter culture bacteria.Lactobacillus rhamnosus,Lactobacillus kefiri,Lactobacillus kefiranofaciens,Lactobacillus casei,Streptococcus thermophilus, andBifidobacteriumhad the highest share of microbial cheese communities. The number of gamma-Proteobacteria reads was higher in autumn cheese samples. A high number of reads was also noted in the genusClostridium. The counts of spore-forming bacteria of the genusBacilluswere higher in cheeses produced in spring. The study revealed highly similar relationships between the analyzed production periods. The present results contribute to the existing knowledge of cheese microbiota, and they can be used to improve and modify production processes based on the composition of microbial communities, as well as to improve the quality of the final product.","Nalepa, Beata/K-9846-2018; Ciesielski, Slawomir/B-4569-2013","Nalepa, Beata/0000-0001-9332-5397; Ciesielski, Slawomir/0000-0002-9084-9782; ALJEWICZ, MAREK/0000-0001-7794-1923",,2076-3417,JUN,2020,10,12,10.3390/app10124063,,16S rRNA sequencing,Yes,Whole,No,Whole mass,NA,PRJNA637891.,Culture-dependent method to determine selected bacterial counts,Cheeses were sampled after 52 days of ripening across seasons,Yes,Whole mass,No,No,12,NA,1.5,Poland,NA,Swiss–Dutch-type (Edam) cheeses,52,Ripened,Industrial,Yes,Commercial,NA
6,"Kamilari, E; Anagnostopoulos, DA; Papademas, P; Kamilaris, A; Tsaltas, D","Kamilari, Eleni; Anagnostopoulos, Dimitrios A.; Papademas, Photis; Kamilaris, Andreas; Tsaltas, Dimitrios",Characterizing Halloumi cheese's bacterial communities through metagenomic analysis,LWT-FOOD SCIENCE AND TECHNOLOGY,"Halloumi is a semi-hard cheese produced in Cyprus for centuries and its popularity has significantly risen over the past years. High-throughput sequencing (HTS) was applied in the present research to characterize traditional Cyprus Halloumi bacterial diversity. Eighteen samples made by different milk mixtures and produced in different areas of the country were analyzed, to reveal that Halloumi's microbiome was mainly comprised by lactic acid bacteria (LAB), including Lactobacillus, Leuconostoc, and Pediococcus, as well as halophilic bacteria, such as Marinilactibacillus and Halomonas. Additionally, spore forming bacteria and spoilage bacteria, were also detected. Halloumi produced with the traditional method, had significantly richer bacterial diversity compared to Halloumi produced with the industrial method. Variations detected among the bacterial communities highlight the contribution of the initial microbiome that existed in milk and survived pasteurization, as well as factors associated with Halloumi manufacturing conditions, in the final microbiota composition shaping. Identification and characterization of Halloumi microbiome provides an additional, useful tool to characterize its typicity and probably safeguard it from fraud products that may appear in the market. Also, it may assist producers to further improve its quality and guarantee consumers' safety.","Anagnostopoulos, Dimitrios A./AAG-2601-2021","Anagnostopoulos, Dimitrios A./0000-0001-9867-2291; Kamilari, Eleni/0000-0002-2473-9729; Papademas, Photis/0000-0003-0284-2247",0023-6438,1096-1127,MAY,2020,126,,10.1016/j.lwt.2020.109298,,16S rRNA gene sequencing,Yes,Whole,No,Whole mass,20,PRJNA598815,NA,Cheeses were at production sites and markets,No,Whole mass,No,No,NA,NA,NA,Cyprus,NA,Cyorus Halloumi,NA,Ripened,Industrial,NA,NA,NA
7,"Castellanos-Rozo, J; Pulido, RP; Grande, MJ; Lucas, R; Galvez, A","Castellanos-Rozo, Jose; Perez Pulido, Ruben; Jose Grande, Ma.; Lucas, Rosario; Galvez, Antonio",Analysis of the Bacterial Diversity of Paipa Cheese (a Traditional Raw Cow's Milk Cheese from Colombia) by High-Throughput Sequencing,MICROORGANISMS,"Background: Paipa cheese is a traditional, semi-ripened cheese made from raw cow's milk in Colombia. The aim of this work was to gain insights on the microbiota of Paipa cheese by using a culture -independent approach. Method: two batches of Paipa cheese from three formal producers were sampled during ripening for 28 days. Total DNA from the cheese samples was used to obtain 16S rRNA gene sequences by using Illumina technology. Results: Firmicutes was the main phylum found in the cheeses (relative abundances: 59.2-82.0%), followed by Proteobacteria, Actinobacteria and Bacteroidetes. Lactococcus was the main genus, but other lactic acid bacteria (Enterococcus, Leuconostoc and Streptococcus) were also detected. Stapylococcus was also relevant in some cheese samples. The most important Proteobacteria were Enterobacteriaceae, Aeromonadaceae and Moraxellaceae. Enterobacter and Enterobacteriaceae (others) were detected in all cheese samples. Serratia and Citrobacter were detected in some samples. Aeromonas and Acinetobacter were also relevant. Other minor genera detected were Marinomonas, Corynebacterium 1 and Chryseobacterium. The principal coordinates analysis suggested that there were producer-dependent differences in the microbiota of Paipa cheeses. Conclusions: lactic acid bacteria are the main bacterial group in Paipa cheeses. However, other bacterial groups, including spoilage bacteria, potentially toxin producers, and bacteria potentially pathogenic to humans and/or prone to carry antimicrobial resistance genes are also relevant in the cheeses.","Lucas R, Rosario Lucas Lopez/I-4855-2018","Lucas R, Rosario Lucas Lopez/0000-0002-0180-9296; Castellanos-Rozo, Jose/0000-0001-7497-5917",,2076-2607,FEB,2020,8,2,10.3390/microorganisms8020218,32041151,16S rRNA sequencing,Yes,Whole,No,Radial slices (ca. 100 g weight each),0.25,PRJEB36556.,NA,"0, 10, 21 and 28 days of ripening.",Yes,Whole mass,Yes,Yes,NA,NA,NA,Colombia,NA,Paipa cheese,NA,Ripening,Industrial,NA,NA,NA
8,"Dugat-Bony, E; Bonnarme, P; Fraud, S; Catellote, J; Sarthou, AS; Loux, V; Rue, O; Bel, N; Chuzeville, S; Helinck, S","Dugat-Bony, Eric; Bonnarme, Pascal; Fraud, Sebastien; Catellote, Jessie; Sarthou, Anne -Sophie; Loux, Valentin; Rue, Olivier; Bel, Nadege; Chuzeville, Sarah; Helinck, Sandra","Effect of sodium chloride reduction or partial substitution with potassium chloride on the microbiological, biochemical and sensory characteristics of semi-hard and soft cheeses",FOOD RESEARCH INTERNATIONAL,"Sodium reduction in the human diet is currently one of the main concerns for public health agencies and, consequently, has become a challenge for the food industries. In this study, the impact of reduced sodium chloride content (20%) or its partial substitution with potassium chloride in soft (Camembert-type) and semi-hard (Reblochon-type) cheeses was evaluated. Analyses included physicochemical and biochemical composition, microbial counts, 16S rRNA gene metabarcoding and metatranscriptomic analysis, volatile aroma compounds and sensory analysis. Regarding soft cheeses, the salt content of cheeses affected proteolysis at 21 days of ripening. RNA sequencing revealed that the relative activity of G. candidum increased, whereas that of P. camemberti decreased in reduced salt cheeses in comparison to the controls. Higher global intensity of odor and taste was observed in cheeses with reduced salt content, consistent with higher levels of alcohol and ester components. Regarding semi-hard cheeses, modifications of salt content did not significantly affect either their biochemical parameters and sensory characteristics or their technological microbial composition at day 21 of ripening. Finally, no impact of salt content was observed on the growth of the spoiler Yarrowia lipolytica in soft cheeses. In contrast, reducing salt content increased spoiler growth in semi-hard cheeses, as highlighted by a greater development of Pseudomonas that led to an increase in cheese proteolysis and lipolysis. In conclusion, the effect of reducing salt content is highly dependent on the cheese type. This factor should thus be taken into account by the dairy industry when the reduction of salt content is being considered. Moreover, the quality of raw products, in particular, the level of spoiler microorganisms, must be controlled before use during dairy processes.","Dugat-Bony, Eric/K-2455-2014","Dugat-Bony, Eric/0000-0002-5182-0063",0963-9969,1873-7145,NOV,2019,125,,10.1016/j.foodres.2019.108643,31554056,16S rRNA gene metabarcoding and metatranscriptomics,Yes,Whole,No,Cheese surface,NA,PRJNA523139 and PRJNA523735,Enumeration of the cheese total microflora,"1, 7, 14 and 21",Yes,Rind,Yes,Yes,11,6.05,1.5,France,NA,Soft (“camembert”-type) and semi-hard (“reblochon”-type) cheeses,21,Ripening,Industrial,Yes,Commercial,NA
8,"Dugat-Bony, E; Bonnarme, P; Fraud, S; Catellote, J; Sarthou, AS; Loux, V; Rue, O; Bel, N; Chuzeville, S; Helinck, S","Dugat-Bony, Eric; Bonnarme, Pascal; Fraud, Sebastien; Catellote, Jessie; Sarthou, Anne -Sophie; Loux, Valentin; Rue, Olivier; Bel, Nadege; Chuzeville, Sarah; Helinck, Sandra","Effect of sodium chloride reduction or partial substitution with potassium chloride on the microbiological, biochemical and sensory characteristics of semi-hard and soft cheeses",FOOD RESEARCH INTERNATIONAL,"Sodium reduction in the human diet is currently one of the main concerns for public health agencies and, consequently, has become a challenge for the food industries. In this study, the impact of reduced sodium chloride content (20%) or its partial substitution with potassium chloride in soft (Camembert-type) and semi-hard (Reblochon-type) cheeses was evaluated. Analyses included physicochemical and biochemical composition, microbial counts, 16S rRNA gene metabarcoding and metatranscriptomic analysis, volatile aroma compounds and sensory analysis. Regarding soft cheeses, the salt content of cheeses affected proteolysis at 21 days of ripening. RNA sequencing revealed that the relative activity of G. candidum increased, whereas that of P. camemberti decreased in reduced salt cheeses in comparison to the controls. Higher global intensity of odor and taste was observed in cheeses with reduced salt content, consistent with higher levels of alcohol and ester components. Regarding semi-hard cheeses, modifications of salt content did not significantly affect either their biochemical parameters and sensory characteristics or their technological microbial composition at day 21 of ripening. Finally, no impact of salt content was observed on the growth of the spoiler Yarrowia lipolytica in soft cheeses. In contrast, reducing salt content increased spoiler growth in semi-hard cheeses, as highlighted by a greater development of Pseudomonas that led to an increase in cheese proteolysis and lipolysis. In conclusion, the effect of reducing salt content is highly dependent on the cheese type. This factor should thus be taken into account by the dairy industry when the reduction of salt content is being considered. Moreover, the quality of raw products, in particular, the level of spoiler microorganisms, must be controlled before use during dairy processes.","Dugat-Bony, Eric/K-2455-2014","Dugat-Bony, Eric/0000-0002-5182-0063",0963-9969,1873-7145,NOV,2019,125,,10.1016/j.foodres.2019.108643,31554056,16S rRNA gene metabarcoding and metatranscriptomics,Yes,Whole,No,Cheese surface,NA,PRJNA523139 and PRJNA523735,Enumeration of the cheese total microflora,"1, 7, 14 and 21",Yes,Rind,Yes,Yes,11,6.18,1.2,France,NA,Soft (“camembert”-type) and semi-hard (“reblochon”-type) cheeses,21,Ripening,Industrial,Yes,Commercial,NA
8,"Dugat-Bony, E; Bonnarme, P; Fraud, S; Catellote, J; Sarthou, AS; Loux, V; Rue, O; Bel, N; Chuzeville, S; Helinck, S","Dugat-Bony, Eric; Bonnarme, Pascal; Fraud, Sebastien; Catellote, Jessie; Sarthou, Anne -Sophie; Loux, Valentin; Rue, Olivier; Bel, Nadege; Chuzeville, Sarah; Helinck, Sandra","Effect of sodium chloride reduction or partial substitution with potassium chloride on the microbiological, biochemical and sensory characteristics of semi-hard and soft cheeses",FOOD RESEARCH INTERNATIONAL,"Sodium reduction in the human diet is currently one of the main concerns for public health agencies and, consequently, has become a challenge for the food industries. In this study, the impact of reduced sodium chloride content (20%) or its partial substitution with potassium chloride in soft (Camembert-type) and semi-hard (Reblochon-type) cheeses was evaluated. Analyses included physicochemical and biochemical composition, microbial counts, 16S rRNA gene metabarcoding and metatranscriptomic analysis, volatile aroma compounds and sensory analysis. Regarding soft cheeses, the salt content of cheeses affected proteolysis at 21 days of ripening. RNA sequencing revealed that the relative activity of G. candidum increased, whereas that of P. camemberti decreased in reduced salt cheeses in comparison to the controls. Higher global intensity of odor and taste was observed in cheeses with reduced salt content, consistent with higher levels of alcohol and ester components. Regarding semi-hard cheeses, modifications of salt content did not significantly affect either their biochemical parameters and sensory characteristics or their technological microbial composition at day 21 of ripening. Finally, no impact of salt content was observed on the growth of the spoiler Yarrowia lipolytica in soft cheeses. In contrast, reducing salt content increased spoiler growth in semi-hard cheeses, as highlighted by a greater development of Pseudomonas that led to an increase in cheese proteolysis and lipolysis. In conclusion, the effect of reducing salt content is highly dependent on the cheese type. This factor should thus be taken into account by the dairy industry when the reduction of salt content is being considered. Moreover, the quality of raw products, in particular, the level of spoiler microorganisms, must be controlled before use during dairy processes.","Dugat-Bony, Eric/K-2455-2014","Dugat-Bony, Eric/0000-0002-5182-0063",0963-9969,1873-7145,NOV,2019,125,,10.1016/j.foodres.2019.108643,31554056,16S rRNA gene metabarcoding and metatranscriptomics,Yes,Whole,No,Cheese surface,NA,PRJNA523139 and PRJNA523735,Enumeration of the cheese total microflora,"1, 7, 14 and 21",Yes,Rind,Yes,Yes,11,6.1,1.2,France,NA,Soft (“camembert”-type) and semi-hard (“reblochon”-type) cheeses,21,Ripening,Industrial,Yes,Commercial,NA
