	Original.Reads	Filtered.Reads	Denoised.Reads	tabled	Non.chimeric.Reads	pseq	study	PRJ	Molecule	Cheese	Country	Region	Space	doi	Extraction_kit	Extraction_volume	Sequencer	Animal	Time	Pasteurized	pH	NaCl
SRR13235654	152407	143434	142365	142365	137068	137063	1	PRJNA681198	DNA	Adobera	Mexico	Los altos de jalisco	Multiple	10.3390/microorganisms9010024	Fecal DNA extraction Kit Bio Basic	0.2g	Ion_Torrent	Cow		NA	NA	NA
SRR13235658	575725	551465	550349	550349	529895	529887	1	PRJNA681198	DNA	Adobera	Mexico	Los altos de jalisco	Multiple	10.3390/microorganisms9010025	Fecal DNA extraction Kit Bio Basic	0.2g	Ion_Torrent	Cow		NA	NA	NA
SRR13235659	91955	88072	87383	87383	85712	85710	1	PRJNA681198	DNA	Adobera	Mexico	Los altos de jalisco	Multiple	10.3390/microorganisms9010026	Fecal DNA extraction Kit Bio Basic	0.2g	Ion_Torrent	Cow		NA	NA	NA
SRR13235660	128948	123021	122234	122234	119768	119765	1	PRJNA681198	DNA	Adobera	Mexico	Los altos de jalisco	Multiple	10.3390/microorganisms9010027	Fecal DNA extraction Kit Bio Basic	0.2g	Ion_Torrent	Cow		NA	NA	NA
SRR13235661	12363	11919	11668	11668	11026	11026	1	PRJNA681198	DNA	Adobera	Mexico	Los altos de jalisco	Multiple	10.3390/microorganisms9010028	Fecal DNA extraction Kit Bio Basic	0.2g	Ion_Torrent	Cow		NA	NA	NA
SRR13235666	89613	87092	86255	86255	82122	82103	1	PRJNA681198	DNA	Adobera	Mexico	Los altos de jalisco	Multiple	10.3390/microorganisms9010029	Fecal DNA extraction Kit Bio Basic	0.2g	Ion_Torrent	Cow		NA	NA	NA
SRR13235670	10237	9913	9688	9688	9420	9420	1	PRJNA681198	DNA	Adobera	Mexico	Los altos de jalisco	Multiple	10.3390/microorganisms9010030	Fecal DNA extraction Kit Bio Basic	0.2g	Ion_Torrent	Cow		NA	NA	NA
SRR13235674	91978	87335	86287	86287	82810	82796	1	PRJNA681198	DNA	Adobera	Mexico	Los altos de jalisco	Multiple	10.3390/microorganisms9010031	Fecal DNA extraction Kit Bio Basic	0.2g	Ion_Torrent	Cow		NA	NA	NA
SRR8003184_1	81087	79537	79342	79342	77910	77841	10	PRJNA476316	DNA	Serrano	Brazil	SantaCatarina	V3-V4	10.1016/j.fm.2018.12.014	Biostic bacteremia DNA isolation kit MOBIO	Dilution	Miseq	Cow		NO	NA	NA
SRR8003186_1	107027	104447	103990	103990	98053	98053	10	PRJNA476316	DNA	Serrano	Brazil	SantaCatarina	V3-V4	10.1016/j.fm.2018.12.014	Biostic bacteremia DNA isolation kit MOBIO	Dilution	Miseq	Cow		NO	NA	NA
SRR8003187_1	81203	79079	78852	78852	73926	73926	10	PRJNA476316	DNA	Serrano	Brazil	SantaCatarina	V3-V4	10.1016/j.fm.2018.12.014	Biostic bacteremia DNA isolation kit MOBIO	Dilution	Miseq	Cow		NO	NA	NA
SRR8003188_1	75708	74516	74281	74281	69392	69392	10	PRJNA476316	DNA	Serrano	Brazil	SantaCatarina	V3-V4	10.1016/j.fm.2018.12.014	Biostic bacteremia DNA isolation kit MOBIO	Dilution	Miseq	Cow		NO	NA	NA
SRR8003189_1	85705	84179	83922	83922	79334	79334	10	PRJNA476316	DNA	Serrano	Brazil	SantaCatarina	V3-V4	10.1016/j.fm.2018.12.014	Biostic bacteremia DNA isolation kit MOBIO	Dilution	Miseq	Cow		NO	NA	NA
SRR8003190_1	103465	101571	101143	101143	95791	95791	10	PRJNA476316	DNA	Serrano	Brazil	SantaCatarina	V3-V4	10.1016/j.fm.2018.12.014	Biostic bacteremia DNA isolation kit MOBIO	Dilution	Miseq	Cow		NO	NA	NA
SRR8003191_1	88055	86449	86174	86174	81672	81654	10	PRJNA476316	DNA	Serrano	Brazil	SantaCatarina	V3-V4	10.1016/j.fm.2018.12.014	Biostic bacteremia DNA isolation kit MOBIO	Dilution	Miseq	Cow		NO	NA	NA
SRR8003192_1	102921	100598	100325	100325	95935	95935	10	PRJNA476316	DNA	Serrano	Brazil	SantaCatarina	V3-V4	10.1016/j.fm.2018.12.014	Biostic bacteremia DNA isolation kit MOBIO	Dilution	Miseq	Cow		NO	NA	NA
SRR8003193_1	82841	81221	80911	80911	76592	76592	10	PRJNA476316	DNA	Serrano	Brazil	SantaCatarina	V3-V4	10.1016/j.fm.2018.12.014	Biostic bacteremia DNA isolation kit MOBIO	Dilution	Miseq	Cow		NO	NA	NA
